Name,Year_of_birth,Month_of_birth,Day_of_birth,Year_of_death,Month_of_death,Day_of_death,Beginning_of_regency,Ending_of_regency,Period _of_regency
Gorm den Gamle,908,NA,NA,958,NA,NA,936,958,22
Harald 1. Blåtand,NA,NA,NA,987,NA,NA,958,987,29
Svend 1. Tveskæg ,NA,NA,NA,1014,NA,NA,987,1014,27
Harald 2. ,NA,NA,NA,1018,NA,NA,1014,1018,4
Knud 1. den Store,995,NA,NA,1035,NA,NA,1018,1035,17
Hardeknud,1020,NA,NA,1042,NA,NA,1035,1042,7
Magnus den Gode,1024,NA,NA,1047,NA,NA,1042,1047,5
Svend 2. Estridsen,NA,NA,NA,1076,April,28,1047,1074,27
Harald 3. Hen,NA,NA,NA,1080,NA,NA,1074,1080,6
Knud 2. den Hellige,NA,NA,NA,1086,July,10,1080,1086,6
Oluf 1. Hunger,NA,NA,NA,1095,NA,NA,1086,1095,9
Erik 1. Ejegod,1056,NA,NA,1103,NA,NA,1095,1103,8
Niels,NA,NA,NA,1134,NA,NA,1104,1134,30
Erik 2. Emune ,NA,NA,NA,1137,July,18,1134,1137,3
Erik 3. Lam ,NA,NA,NA,1146,August,27,1137,1146,9
Valdemar 1. den Store,1131,NA,NA,1182,NA,NA,1157,1182,25
Knud 4. ,1163,NA,NA,1202,NA,NA,1182,1202,20
Valdemar 2. Sejre,1170,NA,NA,1241,NA,NA,1202,1241,39
Erik 4. Plovpenning,1216,NA,NA,1250,NA,NA,1241,1250,9
Abel,1218,NA,NA,1252,NA,NA,1250,1252,2
Christoffer 1. ,1219,NA,NA,1259,NA,Na,1252,1259,7
Erik 5. Kippling,1249,NA,NA,1286,NA,NA,1259,1286,27
Erik 6. Menved,1274,NA,NA,1319,NA,NA,1286,1319,33
Christoffer 2. ,1276,NA,NA,1332,NA,Na,1319,1326,10
Valdemar 3.,1315,NA,NA,1364,NA,NA,1326,1329,3
Christoffer 2. ,1276,NA,NA,1332,NA,NA,1329,1332,10
Valdemar 4. Atterdag ,1320,NA,NA,1375,NA,NA,1340,1375,35
Oluf 2. ,1370,NA,NA,1387,NA,NA,1375,1387,12
Margrete 1. ,1353,NA,NA,1412,October,28,1387,1396,9
Erik 7. af Pommern,1382,NA,NA,1459,NA,NA,1396,1439,43
Christoffer 3. af Bayern ,1416,NA,NA,1448,NA,NA,1440,1444,4
Christian 1. ,1426,NA,NA,1481,May,21,1448,1481,33
Hans,1455,2,2,1513,February,20,1482,1513,31
Christian 2. ,1481,7,1,1559,January,25,1513,1523,10
Frederik 1. ,1471,10,7,1533,April,10,1523,1533,10
Christian 3. ,1503,8,12,1559,January,1,1536,1559,23
Frederik 2.,1534,7,1,1588,April,4,1559,1588,29
Christian 4. ,1577,4,12,1648,February,28,1588,1648,60
Frederik 3. ,1609,3,18,1670,February,9,1648,1670,22
Christian 5. ,1646,4,15,1699,August,25,1670,1699,29
Frederik 4. ,1671,10,11,1730,August,12,1699,1730,31
Christian 6.,1699,11,30,1746,August,6,1730,1746,16
Frederik 5. ,1723,3,31,1766,January,14,1746,1766,20
Christian 7. ,1749,1,29,1808,March,13,1766,1808,42
Frederik 6.,1768,1,28,1839,December,3,1808,1839,31
Christian 8. ,1786,9,18,1848,January,20,1839,1848,9
Frederik 7.,1808,10,6,1863,November,15,1848,1863,15
Christian 9,1818,4,8,1906,January,29,1863,1906,43
Frederik 8.,1843,6,3,1912,May,14,1906,1912,6
Christian 10.,1870,9,26,1947,April,20,1912,1947,35
Frederik 9.,1899,3,11,1972,January,14,1947,1972,25
Margrete 2.,1940,4,16,NA,NA,NA,1972,NA,NA
